slug,module,localFile,severity,web_adj,doc_words,gap_pct,aggregated,agg_files
create-schedule-snapshotVM,Cloud Server,cloud-server/create-schedule-snapshotVM.md,MEDIUM,194,93,52%,,
viewschedule-snapshotVM,Cloud Server,cloud-server/viewschedule-snapshotVM.md,MEDIUM,62,30,52%,,
viewschedule-snapshotstorage,Cloud Server,cloud-server/viewschedule-snapshotstorage.md,MEDIUM,62,30,52%,,
editschedule-snapshotVM,Cloud Server,cloud-server/editschedule-snapshotVM.md,MEDIUM,56,28,50%,,
edit-instance-group-specific,Cloud Server,cloud-server/edit-instance-group-specific.md,MEDIUM,112,58,48%,,
tutorials-permissions,FPT Object Storage,fpt-object-storage/tutorials-permissions.md,MEDIUM,881,462,48%,,
thuc-hien-dat-lich-xoa-pvc-snapshot,Managed - FPT Kubernetes Engine,managed-fpt-kubernetes-engine/thuc-hien-dat-lich-xoa-pvc-snapshot.md,MEDIUM,341,178,48%,,
xoa-group,FPT Autoscale,fpt-autoscale/xoa-group.md,MEDIUM,98,52,47%,,
nat-instance,Cloud Server,cloud-server/nat-instance.md,MEDIUM,207,109,47%,,
overview-affinity,Cloud Server,cloud-server/overview-affinity.md,MEDIUM,159,84,47%,,
tutorials-ket-noi-vao-may-ao-windows,Cloud Server,cloud-server/tutorials-ket-noi-vao-may-ao-windows.md,MEDIUM,350,190,46%,,
tutorials-thay-doi-thong-tin-cau-hinh-may-chu,Cloud Server,cloud-server/tutorials-thay-doi-thong-tin-cau-hinh-may-chu.md,MEDIUM,329,179,46%,,
hpc-fixed-rental,Cloud Server,cloud-server/hpc-fixed-rental.md,MEDIUM,480,257,46%,,
delete-instance-group,Cloud Server,affinity-anti-affinity/delete-instance-group.md,MEDIUM,118,64,46%,,
logging,VPN Site-to-Site,vpn-site-to-site/logging.md,MEDIUM,883,480,46%,,
quan-ly-api-site,FPT API Management,fpt-api-management/quan-ly-api-site.md,MEDIUM,1150,617,46%,,
vn-su-dung-file-storage-high-performance-tren-baremetal-gpu-server,File Storage - High Performance,file-storage-high-performance/vn-su-dung-file-storage-high-performance-tren-baremetal-gpu-server.md,MEDIUM,443,245,45%,,
quan-ly-tag-retention-rule,FPT Container Registry,fpt-container-registry/quan-ly-tag-retention-rule.md,MEDIUM,362,198,45%,,
hpc-rest-machine,Cloud Server,cloud-server/hpc-rest-machine.md,MEDIUM,257,144,44%,,
khoi-tao-profile,FPT Autoscale,fpt-autoscale/khoi-tao-profile.md,MEDIUM,756,431,43%,,
cicd-guideline,FPT AppSec,fpt-appsec/cicd-guideline.md,MEDIUM,2290,1300,43%,,
thuc-hien-dat-lich-snapshot-pvc,Managed - FPT Kubernetes Engine,managed-fpt-kubernetes-engine/thuc-hien-dat-lich-snapshot-pvc.md,MEDIUM,543,315,42%,,
hpc-hardware-fixation,Cloud Server,cloud-server/hpc-hardware-fixation.md,MEDIUM,152,89,41%,,
gan-storage-disk-vao-may-ao,Cloud Server,cloud-server/gan-storage-disk-vao-may-ao.md,MEDIUM,149,88,41%,,
them-moi-tag-retention-rule,FPT Container Registry,fpt-container-registry/them-moi-tag-retention-rule.md,MEDIUM,581,341,41%,,
cem-chi-tiet-quota-dich-vu,FPT Container Registry,fpt-container-registry/cem-chi-tiet-quota-dich-vu.md,MEDIUM,162,96,41%,,
SSO-qua-FCDClient-cu,FPT Cloud Desktop,fpt-cloud-desktop/SSO-qua-FCDClient-cu.md,MEDIUM,644,389,40%,,
tutorials-tra-cuu-thong-tin-thong-so-ky-thuat-cua-may-ao-da-tao,Cloud Server,cloud-server/tutorials-tra-cuu-thong-tin-thong-so-ky-thuat-cua-may-ao-da-tao.md,MEDIUM,344,206,40%,,
japan-su-dung-file-storage-high-performance-tren-baremetal-gpu-server,File Storage - High Performance,file-storage-high-performance/japan-su-dung-file-storage-high-performance-tren-baremetal-gpu-server.md,MEDIUM,936,562,40%,,
connect-vyos-1.5,VPN Site-to-Site,vpn-site-to-site/connect-vyos-1.5.md,MEDIUM,614,372,39%,,
dieu-chinh-cau-hinh-coredns-trong-kubernetes-service,Managed - FPT Kubernetes Engine,managed-fpt-kubernetes-engine/dieu-chinh-cau-hinh-coredns-trong-kubernetes-service.md,MEDIUM,702,426,39%,,
kiem-tra-thong-tin-goi-dich-vu,FPT Container Registry,fpt-argocd/kiem-tra-thong-tin-goi-dich-vu.md,MEDIUM,127,77,39%,,
Create-VPN-S2S-connection,VPN Site-to-Site,vpn-site-to-site/Create-VPN-S2S-connection.md,MEDIUM,317,198,38%,,
mysql-troubleshooting,Managed - FPT Database Engines,managed-fpt-database-engine/mysql-troubleshooting.md,MEDIUM,1777,1108,38%,,
benchmark-sysbench,Managed - FPT Database Engines,managed-fpt-database-engine/benchmark-sysbench.md,MEDIUM,770,485,37%,,
cap-nhat-robot-account,FPT Container Registry,fpt-container-registry/cap-nhat-robot-account.md,MEDIUM,125,80,36%,,
khoi-tao-canh-bao-vpn,FPT Cloud Guard,cloud-guard/khoi-tao-canh-bao-vpn.md,MEDIUM,484,310,36%,,
single-gpu-example,Managed GPU Cluster (Kubernetes),fpt-managed-gpu-cluster/single-gpu-example.md,MEDIUM,777,494,36%,,
question-1,Cloud Server,allow-address-pair/question-1.md,MEDIUM,78,51,35%,,
chinh-sua-may-chu-waf,FPT Cloud WAF,fpt-cloud-waf/chinh-sua-may-chu-waf.md,MEDIUM,122,79,35%,,
quan-ly-rest-apis,FPT API Management,fpt-api-management/quan-ly-rest-apis.md,MEDIUM,648,424,35%,,
tutorials-quan-ly-template-duoc-tao-tu-may-ao,Cloud Server,cloud-server/tutorials-quan-ly-template-duoc-tao-tu-may-ao.md,MEDIUM,93,61,34%,,
schedule-snapshotVM,Cloud Server,cloud-server/schedule-snapshotVM.md,MEDIUM,68,45,34%,,
enable-disable-admin-user,FPT ArgoCD,fpt-argocd/enable-disable-admin-user.md,MEDIUM,175,115,34%,,
faq,FPT Cloud Desktop,ai-notebook/faq.md,MEDIUM,352,236,33%,,
xoa-profile,FPT Autoscale,fpt-autoscale/xoa-profile.md,MEDIUM,127,85,33%,,
scale-thu-cong,FPT Autoscale,fpt-autoscale/scale-thu-cong.md,MEDIUM,423,285,33%,,
xoa-policy,FPT Autoscale,fpt-autoscale/xoa-policy.md,MEDIUM,123,83,33%,,
GPU,Cloud Server,cloud-server/GPU.md,MEDIUM,164,110,33%,,
hpc-schedule-shutdown,Cloud Server,cloud-server/hpc-schedule-shutdown.md,MEDIUM,132,88,33%,,
tai-len-custom-image,Cloud Server,cloud-server/tai-len-custom-image.md,MEDIUM,221,149,33%,,
them-moi-stream-host,FPT Cloud WAF,fpt-cloud-waf/them-moi-stream-host.md,MEDIUM,148,99,33%,,
quan-ly-ssl-certificates,FPT Cloud WAF,fpt-cloud-waf/quan-ly-ssl-certificates.md,MEDIUM,264,177,33%,,
question-,Cloud Server,cloud-server/question-.md,MEDIUM,113,77,32%,,
block-storage,Cloud Server,cloud-server/block-storage.md,MEDIUM,144,99,31%,,
tutorials-object,FPT Object Storage,fpt-object-storage/tutorials-object.md,MEDIUM,969,670,31%,,
xem-danh-sach-kubernetes-cluster-da-tao,Managed - FPT Kubernetes Engine,dedicated-fpt-kubernetes-engine/xem-danh-sach-kubernetes-cluster-da-tao.md,MEDIUM,78,54,31%,,
multi-gpus-example,Managed GPU Cluster (Kubernetes),fpt-managed-gpu-cluster/multi-gpus-example.md,MEDIUM,764,530,31%,,
finetune-llm-models,Managed GPU Cluster (Kubernetes),fpt-managed-gpu-cluster/finetune-llm-models.md,MEDIUM,873,603,31%,,
tutorials-quan-ly-instance-template,Cloud Server,cloud-server/tutorials-quan-ly-instance-template.md,MEDIUM,69,48,30%,,
khoi-tao-kubernetes-cluster-moi,Dedicated - FPT Kubernetes Engine,dedicated-fpt-kubernetes-engine/khoi-tao-kubernetes-cluster-moi.md,MEDIUM,534,372,30%,,
